Ticker,P/E,Market Cap,Dividend Rate,Sector,Industry
SEE,13.688295,6840695296.0,0.64,Consumer Cyclical,Packaging & Containers
SRE,9.567356,35914518528.0,4.18,Utilities,Utilities—Diversified
NOW,1002.18646,115951968256.0,,Technology,Software—Application
SHW,32.65625,65489002496.0,5.36,Basic Materials,Specialty Chemicals
SPG,30.434542,35852140544.0,5.2,Real Estate,REIT—Retail
SWKS,29.955738,31248549888.0,2.0,Technology,Semiconductors
SLG,13.34771,4452341248.0,3.64,Real Estate,REIT—Office
SNA,16.604021,10295878656.0,4.92,Industrials,Tools & Accessories
SO,20.113789,63480020992.0,2.56,Utilities,Utilities—Regulated Electric
LUV,,30325409792.0,,Industrials,Airlines
SWK,22.595882,28130355200.0,2.8,Industrials,Tools & Accessories
SBUX,185.38733,123969691648.0,1.8,Consumer Cyclical,Restaurants
STT,11.629746,25956966400.0,2.08,Financial Services,Asset Management
STE,36.388947,15619545088.0,1.6,Healthcare,Medical Instruments & Supplies
SYK,59.083336,93354270720.0,2.52,Healthcare,Medical Devices
SIVB,22.146917,26281525248.0,,Financial Services,Banks—Regional
SYF,16.365639,21691215872.0,0.88,Financial Services,Credit Services
SNPS,68.40515,44699115520.0,,Technology,Software—Infrastructure
SYY,,38913810432.0,1.8,Consumer Defensive,Food Distribution
TMUS,46.724594,153587073024.0,,Communication Services,Telecom Services
TROW,16.351704,37198508032.0,4.32,Financial Services,Asset Management
TTWO,46.816586,23019474944.0,,Communication Services,Electronic Gaming & Multimedia
TPR,,10643975168.0,,Consumer Cyclical,Luxury Goods
TGT,25.39196,95862972416.0,2.72,Consumer Defensive,Discount Stores
TEL,377.23837,42939465728.0,1.92,Technology,Electronic Components
FTI,,4762962432.0,0.13,Energy,Oil & Gas Equipment & Services
TDY,36.58148,14334631936.0,,Technology,Scientific & Technical Instruments
TFX,52.276707,18914928640.0,1.36,Healthcare,Medical Instruments & Supplies
TER,33.273365,23648034816.0,0.4,Technology,Semiconductor Equipment & Materials
TSLA,1275.1875,783356067840.0,,Consumer Cyclical,Auto Manufacturers
TXN,30.100536,165311725568.0,4.08,Technology,Semiconductors
TXT,37.72424,11647449088.0,0.08,Industrials,Aerospace & Defense
TMO,31.818922,201270804480.0,0.88,Healthcare,Diagnostics & Research
TJX,109.32476,81642840064.0,1.04,Consumer Cyclical,Apparel Retail
TSCO,25.067396,18631364608.0,2.08,Consumer Cyclical,Specialty Retail
TT,,35986087936.0,2.36,Industrials,Specialty Industrial Machinery
TDG,87.74581,31527604224.0,,Industrials,Aerospace & Defense
TRV,13.874525,36813156352.0,3.4,Financial Services,Insurance—Property & Casualty
TRMB,47.722584,18505519104.0,,Technology,Scientific & Technical Instruments
TFC,,72857329664.0,1.8,Financial Services,Banks—Regional
TWTR,,57185669120.0,,Communication Services,Internet Content & Information
TYL,101.23454,19146809344.0,,Technology,Software—Application
TSN,11.833935,23911895040.0,1.78,Consumer Defensive,Farm Products
UDR,213.54999,12668298240.0,1.44,Real Estate,REIT—Residential
ULTA,79.71094,18021591040.0,,Consumer Cyclical,Specialty Retail
USB,15.568627,71798718464.0,1.68,Financial Services,Banks—Regional
UAA,,9353076736.0,,Consumer Cyclical,Apparel Manufacturing
UA,,9353080832.0,,Consumer Cyclical,Apparel Manufacturing
UNP,27.050762,142780743680.0,3.88,Industrials,Railroads
UAL,,13700910080.0,,Industrials,Airlines
UNH,20.47916,311440998400.0,5.0,Healthcare,Healthcare Plans
UPS,99.62805,141332348928.0,4.08,Industrials,Integrated Freight & Logistics
URI,23.460657,20664883200.0,,Industrials,Rental & Leasing Services
UHS,12.678239,10986408960.0,,Healthcare,Medical Care Facilities
UNM,6.359897,5039290368.0,1.14,Financial Services,Insurance—Life
VLO,,26400258048.0,3.92,Energy,Oil & Gas Refining & Marketing
VAR,58.087067,16174649344.0,,Healthcare,Medical Instruments & Supplies
VTR,55.98234,18998241280.0,1.8,Real Estate,REIT—Healthcare Facilities
VRSN,28.62659,22965192704.0,,Technology,Software—Infrastructure
VRSK,47.034004,30810804224.0,1.08,Industrials,Consulting Services
VZ,12.6046505,224279592960.0,2.51,Communication Services,Telecom Services
VRTX,20.794947,55626240000.0,,Healthcare,Biotechnology
VFC,,31145179136.0,1.96,Consumer Cyclical,Apparel Manufacturing
VIAC,,35988992000.0,0.96,Communication Services,Entertainment
VTRS,,22168166400.0,,Healthcare,Drug Manufacturers—Specialty & Generic
V,43.344345,462930313216.0,1.28,Financial Services,Credit Services
VNT,,5747432448.0,,Technology,Scientific & Technical Instruments
VNO,137.10715,7342509568.0,2.12,Real Estate,REIT—Office
VMC,35.893517,21798060032.0,1.36,Basic Materials,Building Materials
WRB,24.156584,12070760448.0,0.48,Financial Services,Insurance—Property & Casualty
WAB,33.373394,15326952448.0,0.48,Industrials,Railroads
WMT,20.847042,408747540480.0,2.16,Consumer Defensive,Discount Stores
WBA,,43530436608.0,1.87,Healthcare,Pharmaceutical Retailers
DIS,,340669857792.0,,Communication Services,Entertainment
WM,31.982492,47860129792.0,2.3,Industrials,Waste Management
WAT,33.965313,17618444288.0,,Healthcare,Diagnostics & Research
WEC,21.91293,26196879360.0,2.71,Utilities,Utilities—Regulated Electric
WFC,81.78049,138948657152.0,0.4,Financial Services,Banks—Diversified
WELL,28.97425,28177526784.0,2.44,Real Estate,REIT—Healthcare Facilities
WST,71.188866,21735335936.0,0.66,Healthcare,Medical Instruments & Supplies
WDC,118.3574,20070778880.0,,Technology,Computer Hardware
WU,13.402235,9864687616.0,0.94,Financial Services,Credit Services
WRK,,11657992192.0,0.8,Consumer Cyclical,Packaging & Containers
WY,32.839737,26154661888.0,0.68,Real Estate,REIT—Specialty
WHR,11.71236,12591491072.0,5.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WMB,128.3146,27718395904.0,1.64,Energy,Oil & Gas Midstream
WLTW,29.728104,29329219584.0,2.84,Financial Services,Insurance Brokers
WYNN,,13510441984.0,,Consumer Cyclical,Resorts & Casinos
XEL,22.057348,33065625600.0,1.72,Utilities,Utilities—Regulated Electric
XRX,27.828638,4703731712.0,1.0,Technology,Information Technology Services
XLNX,58.323326,35749122048.0,,Technology,Semiconductors
XYL,70.8,17881247744.0,,Industrials,Specialty Industrial Machinery
YUM,35.87415,31640999936.0,2.0,Consumer Cyclical,Restaurants
ZBRA,51.095184,25543516160.0,,Technology,Communication Equipment
ZBH,,33450524672.0,0.96,Healthcare,Medical Devices
ZION,16.41722,8135582720.0,,Financial Services,Banks—Regional
ZTS,48.04323,79231934464.0,1.0,Healthcare,Drug Manufacturers—Specialty & Generic
