Ticker,Name,Sector,Industry,P/E,Market Cap,Dividend Yield
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,,32955473920.0,4.51%
MKTX,"MarketAxess Holdings, Inc.",Financial Services,Capital Markets,67.52102,20122173440.0,0.48%
MAR,Marriott International,Consumer Cyclical,Lodging,243.73607,42529656832.0,None
MMC,"Marsh & McLennan Companies, Inc",Financial Services,Insurance Brokers,29.61675,59278520320.0,1.65%
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,27.495667,19759603712.0,0.70%
MAS,Masco Corporation,Industrials,Building Products & Equipment,11.568883,13690240000.0,1.76%
MA,Mastercard Incorporated,Financial Services,Credit Services,53.033756,335582527488.0,0.52%
MKC,"McCormick & Company, Incorporat",Consumer Defensive,Packaged Foods,31.016188,23032506368.0,1.56%
MXIM,N/A,Technology,Semiconductors,35.428783,25469253632.0,None
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,33.815414,158887460864.0,2.41%
MCK,McKesson Corporation,Healthcare,Medical Distribution,,28743968768.0,0.93%
MDT,Medtronic plc.,Healthcare,Medical Devices,43.18613,159274549248.0,1.94%
MRK,N/A,N/A,Drug Manufacturers—General,27.264389,191763628032.0,3.50%
MET,"MetLife, Inc.",Financial Services,Insurance—Life,9.735915,49377366016.0,3.29%
MTD,"Mettler-Toledo International, I",Healthcare,Diagnostics & Research,47.018063,27415916544.0,None
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,,17021137920.0,0.03%
MCHP,Microchip Technology Incorporat,Technology,Semiconductors,128.21939,43431964672.0,0.96%
MU,"Micron Technology, Inc.",Technology,Semiconductors,32.302906,95797305344.0,None
MSFT,Microsoft Corporation,Technology,Software—Infrastructure,36.06978,1824613859328.0,0.92%
MAA,Mid-America Apartment Communiti,Real Estate,REIT—Residential,63.22831,15837368320.0,2.96%
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",3.403324,12090233856.0,None
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages—Brewers,,9736674304.0,None
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,22.216599,77489537024.0,2.30%
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages—Non-Alcoholic,41.44209,48547246080.0,None
MCO,Moody's Corporation,Financial Services,N/A,29.809904,52370976768.0,0.88%
MS,Morgan Stanley,Financial Services,N/A,11.594427,135509082112.0,1.84%
MOS,Mosaic Company,Basic Materials,Agricultural Inputs,,11357535232.0,0.68%
MSI,"Motorola Solutions, Inc.",Technology,N/A,33.258717,30638014464.0,1.55%
MSCI,MSCI Inc,Financial Services,Financial Data & Stock Exchanges,61.55056,36187492352.0,0.72%
NDAQ,"Nasdaq, Inc.",Financial Services,Financial Data & Stock Exchanges,25.88372,23734659072.0,1.36%
NTAP,"NetApp, Inc.",Technology,Computer Hardware,22.008478,15078487040.0,2.79%
NFLX,"Netflix, Inc.",Communication Services,N/A,89.52961,241085480960.0,None
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,,10244723712.0,3.80%
NEM,Newmont Corporation,Basic Materials,Gold,17.95726,45903876096.0,2.77%
NWSA,News Corporation,Communication Services,Broadcasting,,,None
NWS,News Corporation,Communication Services,Broadcasting,,13827400704.0,0.86%
NEE,"NextEra Energy, Inc.",Utilities,Utilities—Regulated Electric,54.070946,156838592512.0,1.90%
NLSN,Nielsen N.V.,N/A,Consulting Services,,8312437248.0,1.03%
NKE,"Nike, Inc.",Consumer Cyclical,Footwear & Accessories,79.42221,222119559168.0,0.78%
NI,NiSource Inc,Utilities,Utilities—Regulated Gas,,8572452864.0,3.93%
NSC,Norfolk Southern Corporation,Industrials,Railroads,32.127728,63427661824.0,1.54%
NTRS,Northern Trust Corporation,Financial Services,Asset Management,17.926739,20387325952.0,2.83%
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,15.493431,49155133440.0,1.99%
NLOK,NortonLifeLock Inc.,Technology,Software—Infrastructure,,12371215360.0,None
NCLH,Norwegian Cruise Line Holdings ,Consumer Cyclical,Travel Services,,8140252672.0,None
NOV,NOV Inc.,Energy,Oil & Gas Equipment & Services,,5543652864.0,None
NRG,"NRG Energy, Inc.",Utilities,Utilities—Independent Power Producers,2.4358819,9741975552.0,3.20%
NUE,Nucor Corporation,Basic Materials,Steel,24.317797,17327704064.0,2.83%
NVDA,NVIDIA Corporation,Technology,Semiconductors,96.88246,366837989376.0,0.11%
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,20.099125,17092093952.0,None
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,18.756056,31079827456.0,None
OXY,Occidental Petroleum Corporatio,Energy,Oil & Gas E&P,,24425519104.0,0.15%
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,36.065144,24035256320.0,0.38%
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,14.99549,14296778752.0,3.95%
OKE,N/A,Energy,Oil & Gas Midstream,31.020548,20126740480.0,8.14%
ORCL,Oracle Corporation,Technology,Software—Infrastructure,18.670599,185847185408.0,1.52%
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,,27234539520.0,1.25%
PCAR,PACCAR Inc.,Industrials,Farm & Heavy Construction Machinery,25.385027,32906205184.0,1.32%
PKG,Packaging Corporation of Americ,Consumer Cyclical,Packaging & Containers,27.44215,12595427328.0,3.01%
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,24.735838,35173281792.0,1.27%
PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services,30.090443,31795034112.0,2.79%
PAYC,"Paycom Software, Inc.",Technology,Software—Application,155.5691,22055385088.0,None
PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,82.206215,340825112576.0,None
PNR,Pentair plc.,Industrials,Specialty Industrial Machinery,25.413746,9042568192.0,1.46%
PBCT,People's,Financial Services,Banks—Regional,11.734848,6578293248.0,4.62%
PEP,"Pepsico, Inc.",Consumer Defensive,Beverages—Non-Alcoholic,26.300783,185778290688.0,3.04%
PKI,"PerkinElmer, Inc.",Healthcare,Diagnostics & Research,22.203573,16145530880.0,0.19%
PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers—Specialty & Generic,,6022665728.0,2.03%
PFE,"Pfizer, Inc.",Healthcare,Drug Manufacturers—General,20.342705,193015431168.0,4.50%
PM,Philip Morris International Inc,Consumer Defensive,Tobacco,16.85756,135474790400.0,5.58%
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,,34411102208.0,4.53%
PNW,Pinnacle West Capital Corporati,Utilities,Utilities—Regulated Electric,13.641062,8618174464.0,4.37%
PXD,Pioneer Natural Resources Compa,N/A,Oil & Gas E&P,129.51009,29149030400.0,1.65%
PNC,"PNC Financial Services Group, I",Financial Services,Banks—Regional,9.870669,71030595584.0,2.71%
POOL,Pool Corporation,Consumer Cyclical,Leisure,36.555183,13168005120.0,0.69%
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,30.56591,32149727232.0,1.57%
PPL,PPL Corporation,Utilities,Utilities—Regulated Electric,13.8977165,21519468544.0,5.93%
PFG,Principal Financial Group Inc,Financial Services,Insurance—Diversified,10.748514,14797488128.0,4.11%
PG,Procter & Gamble Company,Consumer Defensive,Household & Personal Products,24.363,317485056000.0,2.47%
PGR,Progressive Corporation,Financial Services,Insurance—Property & Casualty,8.8794,50195529728.0,5.76%
PLD,"Prologis, Inc.",Real Estate,REIT—Industrial,53.01295,78719778816.0,2.18%
PRU,"Prudential Financial, Inc.",Financial Services,Insurance—Life,,33063725056.0,5.69%
PEG,Public Service Enterprise Group,Utilities,Utilities—Diversified,15.35809,29288599552.0,3.38%
PSA,Public Storage,Real Estate,REIT—Industrial,35.929123,40764993536.0,3.48%
PHM,"PulteGroup, Inc.",N/A,Residential Construction,8.877512,12217829376.0,1.20%
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,,6697638400.0,None
QRVO,"Qorvo, Inc.",Technology,Semiconductors,41.489056,19534469120.0,None
PWR,"Quanta Services, Inc.",N/A,Engineering & Construction,28.245745,10597870592.0,0.31%
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,24.610617,163552313344.0,1.77%
DGX,Quest Diagnostics Incorporated,Healthcare,N/A,11.688634,16276539392.0,2.03%
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,,8079948800.0,None
RJF,"Raymond James Financial, Inc.",Financial Services,Capital Markets,18.83355,15986870272.0,1.33%
RTX,Raytheon Technologies Corporati,Industrials,Aerospace & Defense,,109676068864.0,2.62%
O,Realty Income Corporation,Real Estate,REIT—Retail,51.483597,23086632960.0,4.56%
REG,N/A,Real Estate,REIT—Retail,201.07692,8870870016.0,4.56%
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,15.7269,51421753344.0,None
RF,Regions Financial Corporation,Financial Services,Banks—Regional,19.427185,19218485248.0,None
RSG,"Republic Services, Inc.",Industrials,Waste Management,28.229397,28710748160.0,1.88%
RMD,N/A,N/A,Medical Instruments & Supplies,41.279747,28771491840.0,0.80%
RHI,Robert Half International Inc.,Industrials,Staffing & Employment Services,28.018518,8557906432.0,2.03%
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,22.060867,28648527872.0,None
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,68.98114,17973774336.0,0.85%
ROP,"Roper Technologies, Inc.",Industrials,N/A,42.280624,39817801728.0,0.59%
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,137.84302,42256908288.0,None
RCL,D/B/A Royal Caribbean Cruises L,Consumer Cyclical,Travel Services,,17884583936.0,None
SPGI,S&P Global Inc.,Financial Services,Financial Data & Stock Exchanges,35.007248,81397522432.0,0.91%
CRM,Salesforce.com Inc,Technology,Software—Application,63.84137,226037891072.0,None
SBAC,SBA Communications Corporation,Real Estate,REIT—Specialty,,28932251648.0,0.70%
SLB,Schlumberger N.V.,Energy,Oil & Gas Equipment & Services,,,None
STX,Seagate Technology PLC,Technology,Computer Hardware,18.479624,16742884352.0,3.77%
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,13.300218,6646754304.0,1.50%
SRE,Sempra Energy,Utilities,Utilities—Diversified,9.502806,35672203264.0,3.35%
NOW,"ServiceNow, Inc.",Technology,Software—Application,967.517,111940747264.0,None
SHW,Sherwin-Williams Company,Basic Materials,Specialty Chemicals,32.008152,64189304832.0,0.76%
SPG,"Simon Property Group, Inc.",Real Estate,REIT—Retail,29.966602,35300904960.0,4.73%
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,29.707554,30989656064.0,1.03%
SLG,SL Green Realty Corp,Real Estate,REIT—Office,12.655576,4221468928.0,5.60%
SNA,Snap-On Incorporated,Industrials,Tools & Accessories,16.493752,10227502080.0,2.61%
SO,Southern Company,Utilities,Utilities—Regulated Electric,19.809237,62518845440.0,4.32%
LUV,Southwest Airlines Company,Industrials,Airlines,,30638467072.0,None
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,22.032175,27428577280.0,1.63%
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,183.90845,122980753408.0,1.71%
STT,State Street Corporation,Financial Services,Asset Management,11.955695,26684467200.0,2.76%
STE,STERIS plc,Healthcare,Medical Instruments & Supplies,36.184135,15531631616.0,0.88%
SYK,Stryker Corporation,Healthcare,Medical Devices,58.480953,92402483200.0,1.02%
SIVB,SVB Financial Group,Financial Services,Banks—Regional,22.775032,27026903040.0,None
SYF,Synchrony Financial,Financial Services,Credit Services,16.537445,21918930944.0,2.37%
SNPS,"Synopsys, Inc.",Technology,Software—Infrastructure,65.53864,42826006528.0,None
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,,38265536512.0,2.36%
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,45.86324,150755737600.0,None
TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,16.238478,36940926976.0,2.65%
TTWO,"Take-Two Interactive Software, ",Communication Services,Electronic Gaming & Multimedia,45.516514,22380236800.0,None
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,,10538395648.0,None
TGT,Target Corporation,Consumer Defensive,Discount Stores,25.300438,95517442048.0,1.43%
TEL,TE Connectivity Ltd. New Switze,Technology,Electronic Components,374.94183,42678059008.0,1.48%
FTI,TechnipFMC plc,Energy,Oil & Gas Equipment & Services,,3495041536.0,1.26%
TDY,Teledyne Technologies Incorpora,Technology,Scientific & Technical Instruments,37.77254,14801354752.0,None
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,51.917633,18785005568.0,0.33%
TER,"Teradyne, Inc.",Technology,Semiconductor Equipment & Materials,31.532711,22410917888.0,0.28%
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,1202.0312,738415673344.0,None
TXN,Texas Instruments Incorporated,Technology,Semiconductors,29.658176,162882306048.0,2.26%
TXT,Textron Inc.,Industrials,Aerospace & Defense,37.731655,11649738752.0,0.16%
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,31.260025,197735497728.0,0.18%
TJX,"TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,106.704185,79685820416.0,1.54%
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,26.077585,19382188032.0,1.28%
TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery,,35809652736.0,1.56%
TDG,Transdigm Group Incorporated Tr,Industrials,Aerospace & Defense,86.07306,30926573568.0,None
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance—Property & Casualty,14.093631,37394509824.0,2.31%
TRMB,Trimble Inc.,Technology,Scientific & Technical Instruments,46.529034,18042693632.0,None
TFC,Truist Financial Corporation,Financial Services,Banks—Regional,,74712145920.0,3.33%
TWTR,"Twitter, Inc.",Communication Services,Internet Content & Information,,55817662464.0,None
TYL,"Tyler Technologies, Inc.",Technology,Software—Application,98.85715,18697164800.0,None
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,12.001804,24251095040.0,2.71%
UDR,"UDR, Inc.",Real Estate,REIT—Residential,212.2,12588213248.0,3.39%
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,80.53942,18208901120.0,None
USB,U.S. Bancorp,Financial Services,Banks—Regional,15.878334,73227010048.0,3.45%
UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,,9188275200.0,None
UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,,9188823040.0,None
UNP,Union Pacific Corporation,Industrials,Railroads,26.69797,140918620160.0,1.81%
UAL,"United Continental Holdings, In",Industrials,Airlines,,14204508160.0,None
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,20.382769,309975089152.0,1.54%
UPS,"United Parcel Service, Inc.",Industrials,Integrated Freight & Logistics,97.7622,138685448192.0,2.52%
URI,"United Rentals, Inc.",Industrials,Rental & Leasing Services,22.689344,19985487872.0,None
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,12.638031,10951566336.0,None
UNM,Unum Group,Financial Services,Insurance—Life,6.6028275,5231777792.0,4.46%
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,,27158747136.0,6.05%
VAR,"Varian Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,58.11181,16181537792.0,None
VTR,"Ventas, Inc.",Real Estate,REIT—Healthcare Facilities,56.008827,19007232000.0,3.58%
VRSN,"VeriSign, Inc.",Technology,Software—Infrastructure,28.434229,22810873856.0,None
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,46.50782,30466115584.0,0.57%
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,13.130232,233631465472.0,4.64%
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Biotechnology,20.557823,54991937536.0,None
VFC,V.F. Corporation,Consumer Cyclical,Apparel Manufacturing,,30902315008.0,2.47%
VIAC,ViacomCBS Inc.,Communication Services,Entertainment,,37097222144.0,1.62%
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,,22253240320.0,None
V,Visa Inc.,Financial Services,Credit Services,42.77973,456900050944.0,0.62%
VNT,Vontier Corporation,Technology,Scientific & Technical Instruments,,5435712512.0,None
VNO,Vornado Realty Trust,Real Estate,REIT—Office,,7046054912.0,5.67%
VMC,Vulcan Materials Company,Basic Materials,Building Materials,36.192974,21025519616.0,0.91%
WRB,W.R. Berkley Corporation,Financial Services,Insurance—Property & Casualty,24.22064,12102768640.0,0.71%
WAB,N/A,N/A,N/A,32.532116,14940591104.0,0.60%
WMT,Walmart Inc.,Consumer Defensive,N/A,21.064936,413019734016.0,1.48%
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,,42735517696.0,3.71%
DIS,Walt Disney Company,Communication Services,Entertainment,,333808173056.0,None
WM,"Waste Management, Inc.",Industrials,Waste Management,31.75939,47526273024.0,2.04%
WAT,Waters Corporation,Healthcare,Diagnostics & Research,33.63756,17448433664.0,None
WEC,"WEC Energy Group, Inc.",Utilities,Utilities—Regulated Electric,21.604221,25827817472.0,3.34%
WFC,Wells Fargo & Company,Financial Services,Banks—Diversified,90.585365,153908527104.0,1.15%
WELL,Welltower Inc.,Real Estate,REIT—Healthcare Facilities,28.839056,28046051328.0,3.63%
WST,"West Pharmaceutical Services, I",Healthcare,Medical Instruments & Supplies,71.04842,21692456960.0,0.22%
WDC,Western Digital Corporation,Technology,Computer Hardware,120.19855,20382998528.0,None
WU,Western Union Company,Financial Services,Credit Services,13.368715,9840016384.0,3.93%
WRK,Westrock Company,Consumer Cyclical,N/A,,11491976192.0,1.81%
WY,Weyerhaeuser Company,Real Estate,REIT—Specialty,31.846296,25363451904.0,1.95%
WHR,Whirlpool Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",11.409198,12265572352.0,2.55%
WMB,"Williams Companies, Inc.",Energy,Oil & Gas Midstream,127.2191,27481747456.0,7.16%
WLTW,Willis Towers Watson Public Lim,Financial Services,Insurance Brokers,29.844444,29443999744.0,1.25%
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,,13938664448.0,None
XEL,Xcel Energy Inc.,Utilities,Utilities—Regulated Electric,21.878138,32796975104.0,2.84%
XRX,Xerox Holdings Corporation,Technology,Information Technology Services,27.658451,4674966016.0,4.18%
XLNX,"Xilinx, Inc.",Technology,Semiconductors,55.41416,33965957120.0,None
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,69.97858,17673787392.0,1.13%
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,35.726192,31510501376.0,1.89%
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,50.762566,25377232896.0,None
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,,32623484928.0,0.59%
ZION,Zions Bancorporation N.A.,Financial Services,Banks—Regional,16.771524,8311158784.0,2.65%
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers—Specialty & Generic,49.280697,80101662720.0,0.60%
